id,created_at,user_name,text
34,2007-08-10 15:08:04,ryo_grid,ぐほぁー
35,2007-08-10 15:08:04,ryo_grid,ほにゃらほにゃら
36,2007-08-10 15:08:04,ryo_grid,ファイル名をあれあれ
37,2007-08-10 15:08:05,ryo_grid,cronちゃんと動いてるかな
38,2007-08-10 15:08:06,ryo_grid,ぐへおー
39,2007-08-10 15:08:07,ryo_grid,ぐにょぐにょ
40,2007-08-10 15:08:09,ryo_grid,めけめけ
41,2007-08-10 15:08:10,ryo_grid,うひょー
42,2007-08-10 15:08:12,ryo_grid,テステス
43,2007-08-10 15:08:15,ryo_grid,もきゅもきゅ
44,2007-08-10 15:08:18,ryo_grid,アイデアのテスト
45,2007-08-10 15:34:04,amachang,テスト
46,2007-08-10 15:41:02,hayamizu,○んこたべたい
47,2007-08-10 15:56:02,ryo_grid,テスト
48,2007-08-10 15:57:02,hayamizu,○んこたべたいを極めて起業する
49,2007-08-10 16:09:02,youchan,  てすと *Tw*
50,2007-08-10 16:10:02,hayamizu,次におまえは「テスト」と言う！
51,2007-08-10 16:36:01,youchan, なんで一回しか送ってないのに、こんなにリプライくるんだ？ *Tw*
52,2007-08-10 16:49:02,hayamizu,I came
53,2007-08-10 16:56:03,hayamizu,@hirameki自重しろwww
54,2007-08-10 16:58:02,yuiseki,hogehoge
55,2007-08-10 17:01:03,bulkneets,なおってる？OK？
56,2007-08-10 17:04:02,youchan, 直ったの？ *Tw*
57,2007-08-10 17:27:03,ryo_grid,連打ストッパー参上
58,2007-08-10 17:28:02,hayamizu,DADADADADA!!!!
59,2007-08-10 17:51:43,ryo_grid,バグ直ったはずなり
60,2007-08-10 18:31:02,ryo_grid,タイムマシンインターネット。ってInternet Archiveか。
61,2007-08-10 18:31:02,ryo_grid,タイムマシンブラウザー
62,2007-08-10 18:31:02,ryo_grid,Firefoxで検索キーワードによって検索エンジンを切り替えてくれる拡張機能が欲しい。切り替えるための知識は群集の叡智で。
63,2007-08-10 18:31:02,ryo_grid,ブロガー間の人間関係を暴き出すサービス
64,2007-08-10 18:31:02,ryo_grid,webをユークリッド空間にマッピングしてみたりとか
65,2007-08-10 18:31:02,ryo_grid, ゆるいプロトコル,ゆるいフレームワーク構築用フレームワーク。ファジィに行こうよ。
66,2007-08-10 18:31:02,ryo_grid,ブログ編集用スクリプト
67,2007-08-10 18:31:02,ryo_grid,アートとしてのプログラミング
68,2007-08-10 18:35:02,ryo_grid,チェーンメール型情報収集
69,2007-08-10 18:35:02,ryo_grid,web2.0的に作り上げた問題集(単語集とか)をメールで定期的に受信できるサービス
70,2007-08-10 18:37:03,ryo_grid,ひらめいったーでアイデアマラソンをやるよ
71,2007-08-10 19:01:02,masa_edw,RDBMS または全文検索エンジンに組み込んで使える類似画像検索ライブラリ
72,2007-08-10 19:03:41,masa_edw,醤油瓶やトイレットペーパ等、いつも同じのを買うような消耗品の残量を計測して、必要になると自動的に注文、宅配するサービスとインフラ
73,2007-08-10 20:21:02,ryo_grid,twitterを使えば、スパムしまくれるよね
74,2007-08-10 21:12:02,bulkneets,特殊なメガネをかけてターゲットを見ると、その人が友達だと思ってる人の数、その人を友達だと思ってる人の数が見える。
75,2007-08-10 21:12:02,bulkneets,友達の数を視覚化するメガネ。
76,2007-08-10 21:18:08,youchan, 直ったの？どれどれ *Tw*
77,2007-08-10 21:24:02,lurker_,ニートはtwitterを使えない仕組みを作る
78,2007-08-10 21:27:02,youchan,@ryo_grid  直ったみたいだね *Tw*
79,2007-08-10 21:42:02,marvelous,ひらめいったーとアイデアミーをなんとかうまいことする仕組み。
80,2007-08-10 21:45:02,youchan,D youchan  テストだぴょん♪ *Tw*
81,2007-08-10 22:06:02,masa_edw,Ustream専用動画窓つきIRCクライアント
82,2007-08-10 22:15:04,ryo_grid,この世の女性がすべて美人になった時に必要になるサービスとは。って友達が言ってた。意味があるかは知らないけど、着眼点は面白い。
83,2007-08-10 22:57:02,ryo_grid,アイデアの集まる場所まとめ（http://tinyurl.com/yvc5ab)だそうです。これは良エントリ。
